Date, Close,Sigma_20_Days
2003-12-01,1070.12,
2003-12-02,1066.62,
2003-12-03,1064.73,
2003-12-04,1069.72,
2003-12-05,1061.5,
2003-12-08,1069.3,
2003-12-09,1060.18,
2003-12-10,1059.05,
2003-12-11,1071.21,
2003-12-12,1074.14,
2003-12-15,1068.04,
2003-12-16,1075.13,
2003-12-17,1076.48,
2003-12-18,1089.18,
2003-12-19,1088.67,
2003-12-22,1092.94,
2003-12-23,1096.02,
2003-12-24,1094.04,
2003-12-26,1095.89,
2003-12-29,1109.48,0.0062023760956386054
2003-12-30,1109.64,0.006092070524531053
2003-12-31,1111.92,0.00601974988285874
2004-01-02,1108.48,0.006112454588950147
2004-01-05,1122.22,0.006100475263456304
2004-01-06,1123.67,0.006015507461245333
2004-01-07,1126.33,0.0053781181116428385
2004-01-08,1131.92,0.0052893018305642065
2004-01-09,1121.86,0.0056389615694715884
2004-01-12,1127.23,0.005664319472859417
2004-01-13,1121.22,0.005636756255398975
2004-01-14,1130.52,0.0057153300162386105
2004-01-15,1132.05,0.005714037389216609
2004-01-16,1139.83,0.005378734321940659
2004-01-20,1138.77,0.005393477984890217
2004-01-21,1147.62,0.005525136068773064
2004-01-22,1143.94,0.00568180571360079
2004-01-23,1141.55,0.005693433858342125
2004-01-26,1155.37,0.00612141617482121
2004-01-27,1144.05,0.00630357098969829
2004-01-28,1128.48,0.007208975127255009
2004-01-29,1134.11,0.007266039798226318
2004-01-30,1131.13,0.00725198921722284
2004-02-02,1135.26,0.006755123446270575
2004-02-03,1136.03,0.006753248024174871
2004-02-04,1126.52,0.00704017548413353
2004-02-05,1128.59,0.006954560598924724
2004-02-06,1142.76,0.007190672823423368
2004-02-09,1139.81,0.0071735716908007075
2004-02-10,1145.54,0.007090174684068578
2004-02-11,1157.76,0.007242211516544579
2004-02-12,1152.11,0.007378551271690143
2004-02-13,1145.81,0.007371466885619082
2004-02-17,1156.99,0.007673853750565312
2004-02-18,1151.82,0.007574856908510535
2004-02-19,1147.06,0.007601057214469991
2004-02-20,1144.11,0.007609828528857029
2004-02-23,1140.99,0.007055235431780557
2004-02-24,1139.09,0.006706570046793709
2004-02-25,1143.67,0.0059231405385882984
2004-02-26,1144.91,0.005833879303368905
2004-02-27,1144.94,0.005786030807330974
2004-03-01,1155.96,0.006111077943633174
2004-03-02,1149.1,0.006313513657746833
2004-03-03,1151.04,0.0059275208048824085
2004-03-04,1154.88,0.0059471080479737495
2004-03-05,1156.87,0.005283166634266152
2004-03-08,1147.21,0.005633868582439342
2004-03-09,1140.58,0.005681336186917296
2004-03-10,1123.89,0.005948159905381522
2004-03-11,1106.78,0.0066966638754916135
2004-03-12,1120.57,0.0074182390514201035
2004-03-15,1104.49,0.007510880141283216
2004-03-16,1110.7,0.007711649221496352
2004-03-17,1123.75,0.008293114782137699
2004-03-18,1122.32,0.00828519915664679
2004-03-19,1109.78,0.008604634980487724
2004-03-22,1095.4,0.009003022184992335
2004-03-23,1093.95,0.008886610851644765
2004-03-24,1091.33,0.00884878651989721
2004-03-25,1109.19,0.009844080800808482
2004-03-26,1108.06,0.009463990330708251
2004-03-29,1122.47,0.010027469594030307
2004-03-30,1127.0,0.010079176002960445
2004-03-31,1126.21,0.010023706187575159
2004-04-01,1132.17,0.010116018609891019
2004-04-02,1141.81,0.010182964517967002
2004-04-05,1150.57,0.010240889550721681
2004-04-06,1148.16,0.009594548971252602
2004-04-07,1140.53,0.008961230512798663
2004-04-08,1139.32,0.008581445474404231
2004-04-12,1145.2,0.0077844865253052665
2004-04-13,1129.44,0.00851078713551887
2004-04-14,1128.17,0.00810302968645341
2004-04-15,1128.84,0.008095013265670204
2004-04-16,1134.61,0.007659097078975314
2004-04-19,1135.82,0.0068529732846861775
2004-04-20,1118.15,0.00792295645690593
2004-04-21,1124.09,0.007926945788017873
2004-04-22,1139.93,0.0077055089033809835
2004-04-23,1140.6,0.007685493814534236
2004-04-26,1135.53,0.007272456694896658
2004-04-27,1138.11,0.007237799831259412
2004-04-28,1122.41,0.00795089278274764
2004-04-29,1113.89,0.008010306750061102
2004-04-30,1107.3,0.007755556917129054
2004-05-03,1117.49,0.007864239907288966
2004-05-04,1119.55,0.007899647385193248
2004-05-05,1121.53,0.007818623429112728
2004-05-06,1113.99,0.007933969913142094
2004-05-07,1098.7,0.008274786787922388
